Zona	Condominio	Unidad	Piso	Tipo
Aldea Zama	Zama 120	3	Primer Piso	Departamento
Aldea Tulum	Mza 24 lt1 uc2 C. 302 J2		Primer Piso	Departamento
Region 12	Aldea Savia	511	Primer Piso	Studio
Aldea Zama	Tao 	304	PenThouse	PentHouse
La Veleta	Siddartha	109	Segundo Piso	Departamento
La Veleta	Rama	110	Planta baja	Departamento
Region 15	Casa Ananta	-	Planta baja	Casa
La Veleta	Gautama		Planta baja	Departamento
La Veleta	Central Park Lagunas 	C205	Segundo Piso	Studio
Aldea Zama	Paramar Viva	203	Segundo Piso	Departamento
Aldea Zama	Arba I	201-202-203	Primer Piso	Departamento
Aldea Zama	Arba I	301-302-303	PenThouse	PentHouse
Region 8	Recinto	B8	Primer Piso	Departamento
La Veleta	Villa Lool	-	Planta baja	Villa
La Veleta	Kantuun	T2 B1	Segundo Piso	Studio
La Veleta	El Nido	104	Planta baja	Departamento
Aldea Zama	Kuukum	104	PenThouse	PentHouse
Aldea Tulum	aldea tulum 	15	Segundo Piso	Departamento
Aldea Tulum	Aldea tulum F3	16	Tercer Piso	Departamento
Aldea Zama	Miraluna	112	Planta baja	Departamento
Riviera Tulum	Anayansi	3	Segundo Piso	Departamento
La Veleta	Xeiba	201	Primer Piso	Studio
La Veleta	Xeiba	202	Primer Piso	Studio
Aldea Zama	Miraluna	111	Planta baja	Departamento
Aldea Zama	Miraluna	323	PenThouse	PentHouse
Aldea Zama	Miraluna	324	PenThouse	PentHouse
Aldea Zama	Luna Residence 	301	Tercer Piso	Departamento
La Veleta	La Veleta Luxury	4	Primer Piso	Departamento
La Veleta	La Veleta Luxury	8	Segundo Piso	Departamento
La Veleta	La Veleta Luxury	9	Segundo Piso	Departamento
Villas Tulum	Homes	1er nivel	Primer Piso	Departamento
Kukulkan	Chaac	13	Planta baja	Studio
Kukulkan	Chaac	315	PenThouse	studio PH
Region 15	Casa Pala	-	Primer Piso	Casa
La Veleta	Zanza Studios	2002	Segundo Piso	Studio
La Veleta	Via Aqua	102	Primer Piso	Studio
Tumben kaa	Luz Tulum	302	Segundo Piso	Departamento
La Veleta	Xperience Residences	19	Planta baja	Departamento
Riviera Tulum	Riviera	23	Planta baja	Casa
Aldea Zama	Alma de Flores	108	Planta baja	Departamento
Aldea Zama	Alma de Flores	208	Primer Piso	Departamento
Aldea Zama	Alma de Flores	304	Segundo Piso	Departamento
Region 12	Aldea Savia F2	R44	PenThouse	PentHouse
Region 12	Aldea Savia F1	G34	Planta baja	Departamento
Riviera Tulum	Keystone		Primer Piso	Departamento
Aldea Zama	Querido Tulum	102	Planta baja	Departamento
La Veleta	Palalma Casa	20	Planta baja	Departamento
Aldea Zama	Carmela 	303	PenThouse	PentHouse
Region 15	Solemn	207	Segundo Piso	Studio
Aldea Zama	Akua Reserve	34	Primer Piso	Departamento
La Veleta	Acinte by Endémico	ph6	PenThouse	PentHouse
Holistika	Casa Mono 	-	Planta baja	Casa
Aldea Zama	Vientos Tulum	2	Primer Piso	Departamento
Holistika	Amar Tulum	Luna 403	PenThouse	PentHouse
Holistika	Amar Tulum	Cielo 303	PenThouse	PentHouse
Region 15	Mistiq Temple I	C105	Planta baja	Loft
La Veleta	Rama	202	Primer Piso	Studio
Region 15	Casa Laguna	308	Segundo Piso	Departamento
Region 15	Casa Laguna	206	Primer Piso	Departamento
Region 15	Casa Laguna	204 sin muebles	Primer Piso	Departamento
Region 15	Casa Laguna	101	Planta baja	Departamento
La Veleta	Rama	103	Planta baja	Departamento
Macario Gomez	Casa Olivia	-	Planta baja	Casa
Macario Gomez	Casa Sylvia	-	Planta baja	Casa
La Veleta	Erena	106	Planta baja	Studio
La Veleta	Erena	203	Primer Piso	Studio
Kukulkan	Chaac	116	Planta baja	Studio
Aldea Zama	Artia	221	Primer Piso	Departamento
Region 15	Koah	5	Planta baja	Studio
Kukulkan	Adora	209	Primer Piso	Departamento
La Veleta	Cacao	C102	Planta baja	Studio
Region 8	Nook	3104	Primer Piso	Studio
La Veleta	DK Tulum	5	Planta baja	Departamento
La Veleta	DK Tulum	6	Planta baja	Departamento
Region 15	Koah	6	Planta baja	Studio
Region 15	Koah	11	Primer Piso	Studio
Region 15	Koah	1	Planta baja	Studio
Aldea Zama	Paramar Viva	118	Primer Piso	Departamento
Kukulkan	Naia Tulum	B31	PenThouse	PentHouse
Aldea Zama	Ik Zama	4	Primer Piso	Departamento
Tumben kaa	Miel y almendras	4	Primer Piso	Departamento
La Veleta	DK Tulum	1	Planta baja	Departamento
La Veleta	Casa Veleta Flores	-	Planta baja	Casa
Aldea Zama	Quinto sol	7	Primer Piso	Departamento
Aldea Zama	Quinto sol	23	Segundo Piso	Departamento
Riviera Tulum	Casa Pocahontas	-	Planta baja	Casa
La Veleta	Central Park Lagunas 	E303	Primer Piso	Studio
La Veleta	Kantuun	T2 B3	Primer Piso	Departamento
Kukulkan	Naia Tulum	314	Segundo Piso	Studio
La Veleta	Casa Veleta 6BR	-	Planta baja	Casa
La Veleta	Naab	A201	Primer Piso	Departamento
La Veleta	Erena	309	Tercer Piso	Studio
La Veleta	Heavens Lagoon	9	Planta baja	Departamento
La Veleta	Heavens Lagoon	8	Planta baja	Departamento
Riviera Tulum	Anayansi	1 (incluye servicios)	Planta baja	Departamento
La Veleta	Villa sam		Planta baja	Villa
Kukulkan	Adora	406	PenThouse	studio PH
La Veleta	Cacao	203A	Primer Piso	Studio
La Veleta	Cacao	204B	Primer Piso	Studio
Aldea Zama	Zama Tower Premium	D005	Planta baja	Departamento
Aldea Zama	Zama Tower  	D112	Primer Piso	Departamento
Centro	Mama Blue	Gypsea Loft	Planta baja	Loft
Centro	Mama Blue	boho	Planta baja	Loft
Aldea Zama	Amira central	202	Segundo Piso	Departamento
Aldea Zama	La Privada	49	Planta baja	Casa
La Veleta	Terra Ego	301	Tercer Piso	Departamento
Riviera Tulum	Casa Nance	-	Planta baja	Casa
Aldea Tulum	Aldea Tulum	17	Tercer Piso	Departamento
La Veleta	Condos Ocho	A3	Segundo Piso	Departamento
Region 15	Reverence	206	Primer Piso	Studio
Tumben kaa	Edificio Jabali	21	PenThouse	PentHouse
Tumben kaa	Edificio Jabali	26	PenThouse	PentHouse
Centro	Tuk Tulum	Fuego 103	Primer Piso	Studio
Centro	Tuk Tulum	Fuego 14	Planta baja	Studio
Centro	Tuk Tulum	Tierra 307	Tercer Piso	Departamento
Centro	Tuk Tulum	Tierra 211	Primer Piso	Studio
Centro	Tuk Tulum	Fuego 001	Planta baja	Studio
Aldea Zama	Villa G		Planta baja	Casa
Kukulkan	Adora	402	Tercer Piso	Studio
Centro	Tuk Tulum	Agua 112	Primer Piso	Departamento
Tumben kaa	Casa Venado	-	Planta baja	Casa
Centro	Bakal 	208	Primer Piso	Studio
La Veleta	Cacao	204A	Primer Piso	Studio
Region 12	Aldea Savia F2	G58	Planta baja	Departamento
Kukulkan	Adora	401	Segundo Piso	Studio
La Veleta	Kantuun 	T1 B2	Segundo Piso	Departamento
Centro	Maria Tulum 	2	Planta baja	Local Comercial
Centro	Maria tulum 	5	Planta baja	Local Comercial
Centro	Maria tulum 	6	Planta baja	Local Comercial
Centro	Maria tulum 	7	Planta baja	Local Comercial
La Veleta	Palalma Tierra	9	Planta baja	Departamento
Aldea Zama	Tao 	204	Segundo Piso	Departamento
Kukulkan	Adora	103	Planta baja	Departamento
Holistika	Casa Risueña 	-	Planta baja	Casa
Centro	Mama Blue	Dharma	Planta baja	Casa
Centro	Casa Boho 	-	Planta baja	Loft
La Veleta	Santal 	116	Planta baja	Studio
La Veleta	Santal	214	Primer Piso	Studio
Kukulkan	Chaac	14	Planta baja	Studio
La Veleta	The secret garden 	-	Planta baja	Villa
Aldea Zama	Luna Residence	106	Primer Piso	Departamento
Holistika	Casa Risueña PB	-	Planta baja	Casa
Holistika	Casa Risueña PA	-	Primer Piso	Departamento
Aldea Zama	Aflora	309	Primer Piso	Studio
La Veleta	Condo Los amigos 3	-	Planta baja	Departamento
La Veleta	Smart depas	A308	Segundo Piso	Departamento
La Veleta	Smart Depas	C309	PenThouse	PentHouse
Centro	Bakal 	109	Planta baja	Studio
Centro	Bakal 	415 PH	PenThouse	PentHouse
La Veleta	Panoramic	PH6C	PenThouse	PentHouse
La Veleta	Smart Depas 	C310	PenThouse	PentHouse
Aldea Tulum	Aldea tulum 	201	Planta baja	Departamento
Aldea Tulum	Aldea tulum 	203	Segundo Piso	Departamento
Centro	Hacienda Tuuk Torre Yah	3	Planta baja	Studio
Kukulkan	Adora	409	Tercer Piso	Studio
Region 15	Mistiq Temple I	B202	Segundo Piso	Studio
Kukulkan	Naia Tulum	C34	Primer Piso	Departamento
Kukulkan	Naia Tulum 	A13	Primer Piso	Studio
La Veleta	Heavens Lagoon	2	Planta baja	Departamento
La Veleta	Rama 	111	Planta baja	Studio
La Veleta	Zen	3	Planta baja	Studio
La Veleta	Blue Luxury	101 B	Primer Piso	Departamento
La Veleta	Casa armonia 	-	Planta baja	Casa
La Veleta	Central Park Lagunas 	B115	Planta baja	Studio
Playa Del Carmen	Playazul		Primer Piso	Studio
La Veleta	Halaken	PB4	Planta baja	Departamento
La Veleta	Zen 	S10	Tercer Piso	Studio
La Veleta	Zen 	pb1 	Planta baja	Studio
Av coba	Edena by TAO	2	Planta baja	Casa
Aldea Zama	Paramar Viva	108	Primer Piso	Departamento
Kukulkan	Chaac	222	Segundo Piso	Studio
Centro	Tuk Tulum	Fuego 110	Primer Piso	Departamento
La Veleta	Rosa de Plata	306	Tercer Piso	Studio
Region 12	Aldea Savia F1	314	Segundo Piso	Studio
Region 15	Muuk	310	Segundo Piso	Studio
Tumben kaa	Edificio Jabali	12	Primer Piso	Departamento
Tumben kaa	Edifcio Jabali 	14	Primer Piso	Departamento
Aldea Zama	Paramar Ve	101	Primer Piso	Departamento
La Veleta	Kasa Mate		Planta baja	Departamento
Aldea Zama	Miraluna	341	Tercer Piso	Departamento
La Veleta	Cordelia	B3	Planta baja	Departamento
La Veleta	Siddartha 	106	Segundo Piso	Departamento
Region 15	Solemn 	201	Segundo Piso	Departamento
La Veleta	Surya	A2 	Planta baja	Departamento
La Veleta	Kanta 	B2	Primer Piso	Studio
La Veleta	Surya 	PH3	PenThouse	PentHouse
La Veleta	Heaven 	PH	PenThouse	PentHouse
La Veleta	Heaven	C	Planta baja	Departamento
La Veleta	Heaven	E	Segundo Piso	Departamento
La Veleta	Xintok	1002	Planta baja	Departamento
Aldea Zama	Kuukum 	105	Planta baja	Departamento
Region 12	Aldea Savia F1	121	Primer Piso	Departamento
Aldea Zama	Miraluna	224	Segundo Piso	Studio
La Veleta	Atipika 	302	PenThouse	studio PH
Aldea Zama	Zama Tower	302	Segundo Piso	Departamento
La Veleta	Palalma Casa	4	Planta baja	Departamento
La Veleta	Palalma Tierra	4	Planta baja	Departamento
Playa Del Carmen	Beel 19	2	Planta baja	Departamento
Aldea Zama	Gaia	308	Segundo Piso	Departamento
Av coba	Edena by TAO	8	Planta baja	Casa
La Veleta	Tzunum 	2	PenThouse	PentHouse
Aldea Zama	Agua de mar 	308	PenThouse	PentHouse
Chemuyil	Casa Chemuyil 	-	Planta baja	Casa
La Veleta	Xiimbal 	7	Planta baja	Loft
La Veleta	Central Park 	E	PenThouse	PentHouse
Av coba	Gardens by Coba	103	Primer Piso	Departamento
La Veleta	Xamira Fase 1	25	Primer Piso	Studio
Kukulkan	Waves	F305	Tercer Piso	Departamento
Centro	Maria Tulum	-	PenThouse	PentHouse
Kukulkan	NaiaTulum	C33	Tercer Piso	Studio
Aldea Zama	Quinto Sol	16	Primer Piso	Departamento
Centro	Tuk Tulum	Tierra 108	Primer Piso	Studio
Av coba	Gardens by coba 	310	Tercer Piso	Departamento
La Veleta	Smart Depas 	D208	Segundo Piso	Departamento
Aldea Tulum	Aldea Tulum 	7	Planta baja	Departamento
Aldea Zama	Brava Towers 	303	Tercer Piso	Departamento
La Veleta	Palalma Tierra	5	Planta baja	Departamento
La Veleta	Smart Depas 	B307	Tercer Piso	Departamento
Aldea Zama	Chen	302	Tercer Piso	Departamento
Aldea Zama	Chen	203	Segundo Piso	Departamento
Av coba	Edena by TAO	47	Planta baja	Casa
Av coba	Edena by TAO	2	Planta baja	Casa
La Veleta	Lighthouse	-	Planta baja	Casa
La Veleta	Elementus 	d1	Segundo Piso	Departamento
Aldea Zama	Luxury Apartment 	Crypto	Primer Piso	Departamento
Av coba	Edena by TAO	54	Planta baja	Casa
La Veleta	Elementus 	b3	Primer Piso	Departamento
La Veleta	Elementus 	j3	Primer Piso	Departamento
Zona hotelera 	Habitaciones	-	Primer Piso	Departamento
Zona hotelera 	Restaurant 	-	Planta baja	Local Comercial
Zona hotelera 	Local comercial 	-	Planta baja	Local Comercial
Selva Norte	Hibisco 	204	Primer Piso	Departamento
Aldea Zama	Akua Tulum	18	Primer Piso	Studio
Kukulkan	Waves	sp103	Planta baja	Studio
La Veleta	Cordelia	B4	Planta baja	Departamento
Bahia Principe	Downtown	29	Planta baja	Villa
La Veleta	Rosa de Piedra	3	Primer Piso	Departamento
Av coba	Edena by Tao	51	Planta baja	Casa
Region 15	Mistiq Gardens I	223	Primer Piso	Studio
Aldea Zama	Ik Zama	14	PenThouse	PentHouse
Aldea Zama	Miraluna	241	Primer Piso	Departamento
Tumben kaa	Casa Malix	-	Planta baja	Casa
Zona hotelera 	Local comercial 		Planta baja	Local Comercial
Aldea Zama	Loft Andador Kaan	2	Segundo Piso	Loft
Aldea Zama	Loft Andador Kaan	1	Segundo Piso	Loft
Aldea Zama	Zama Tower	207	Segundo Piso	Departamento
Aldea Zama	Chen	101	Primer Piso	Departamento
Aldea Zama	Chen	301	Tercer Piso	Departamento
Region 15	Areia 	F2 6	Segundo Piso	Studio
Akumal	Piedra de mar	4	Primer Piso	Departamento
Centro	Hostal Tzunum		Planta baja	Local Comercial
Aldea Zama	Paramar Viva	211	Tercer Piso	Departamento
La Veleta	Oasis Yaaxlum	401	PenThouse	PentHouse
Kukulkan	Adora	107	Planta baja	Departamento
Aldea Tulum	Aldea Tulum	304	Tercer Piso	Departamento
Kukulkan	Waves	F314	Segundo Piso	Departamento
Kukulkan	Waves	C313	Segundo Piso	Studio
Region 12	Aldea Savia	211	Segundo Piso	Departamento
Av coba	Edena by Tao	57	Planta baja	Casa
Aldea Zama	Town Center	103	Segundo Piso	Departamento
Selva Norte	Kayum	203 sin muebles	Primer Piso	Departamento
Playa Del Carmen	Allegranza	67	Planta baja	Casa
La Veleta	Panoramic	PH4A	PenThouse	studio PH
Region 12	Aldea Savia	C23	Planta baja	Casa
Bahia Principe	Anah Village	B2	Planta baja	Departamento
Muyil	Casa Ana	-	Planta baja	Casa
Aldea Zama	Artia	103		Departamento
Centro	Tuk Tulum	Fuego 203	Segundo Piso	Departamento
Centro	Tuk Tulum	Tierra 310	PenThouse	PentHouse
Region 15	Mistiq Temple II	C304	Segundo Piso	Studio
Aldea Zama	Quinto Sol	17	Primer Piso	Departamento
Aldea Zama	Paramar VE	102	Primer Piso	Departamento
Villas Tulum	Casa Jaguares	-		Departamento
Villas Tulum	Alma 	B2	Primer Piso	Departamento
Villas Tulum	Alma 	C6	Segundo Piso	Departamento
Villas Tulum	Alma 	1	Planta baja	Departamento
Av coba	Edena by Tao	112	Planta baja	Casa
La Veleta	DK Tulum	124	Segundo Piso	Studio
Aldea Zama	Akua Tulum	13	Primer Piso	Studio
Region 12	Aldea Savia	C21	Planta baja	Casa
La Veleta	Palalma Tierra	11	Primer Piso	Departamento
La Veleta	Sky Tulum	K102	Primer Piso	Departamento
La Veleta	Xamira Fase 1	14	Planta baja	Studio
Tumben kaa	Distrito La Selva	5	Planta baja	Casa
Region 15	AAK	D3	Tercer Piso	Departamento
La Veleta	Lool Village		Planta baja	Villa
Av coba	Edena by Tao	48	Planta baja	Casa
La Veleta	Cacao	A302	PenThouse	PentHouse
La Veleta	Seremonia Selva	515	PenThouse	PentHouse
La Veleta	Casa en La Veleta	-	Planta baja	Casa
Tumben kaa	Luz Tulum	F101	Planta baja	Departamento
La Veleta	Seremonia Selva	404	Primer Piso	Studio
Kukulkan	Adora	111	Planta baja	Departamento
La Veleta	Coco Village	B1	Planta baja	Departamento
Villas Tulum	Selva Maya	B1		Departamento
Villas Tulum	Selva Maya		A disponibilidad	Departamento
Villas Tulum	Selva Maya		A disponibilidad	Departamento
Bahia Principe	Downtown	6	Planta baja	Villa
Aldea Zama	Katia	210	Segundo Piso	Studio
Av coba	Edena by Tao	43 sin muebles	Planta baja	Casa
Villas Tulum	Homes	301	PenThouse	PentHouse
Region 15	Mistiq Gardens I	23	Planta baja	Loft
Region 15	Mistiq Gardens I	24	Planta baja	Loft
La Veleta	Coco Village	C3	PenThouse	PentHouse
La Veleta	Casa Chehchen	Town House	Planta baja	Casa
La Veleta	Cacao 	C202	Primer Piso	Departamento
Aldea Zama	Paramar Viva	11	Planta baja	Departamento
La Veleta	Rio de Plata	Casa 1	Planta baja	Casa
La Veleta	Seremonia Origen	310	Segundo Piso	Studio
Aldea Zama	Macondo	101 serv incl	Planta baja	Departamento
La Veleta	Xperience Residences	5	Primer Piso	Departamento
La Veleta	Jungle Chic	306	Segundo Piso	Studio
Region 12	Aldea Savia	206	Primer Piso	Departamento
Region 15	Majaro		Planta baja	Casa
Region 12	Aldea Savia F2	G56	Planta baja	Departamento
Aldea Zama	Aflora	211	Segundo Piso	Studio
Region 12	Aldea Savia F1	DR14	Primer Piso	Departamento
La Veleta	Tierra Blanca	202	Primer Piso	Departamento
La Veleta	Sands Tulum	6	Planta baja	Departamento
La Veleta	Sands Tulum	1	Planta baja	Departamento
La Veleta	Sands Tulum	3	Planta baja	Departamento
La Veleta	Sands Tulum	4	Planta baja	Departamento
La Veleta	Sands Tulum	5	Planta baja	Departamento
La Veleta	Coco Village	A1	Planta baja	Departamento
La Veleta	Coco Village	A3	Tercer Piso	Departamento
La Veleta	Coco Village	C2	Segundo Piso	Departamento
Region 12	Aldea Savia	R25	PenThouse	PentHouse
Region 15	Muuk	307	Segundo Piso	Studio
La Veleta	Tierra Blanca	302	Segundo Piso	Studio
Aldea Zama	Chen Luum	102	Planta baja	Departamento
Kukulkan	Waves	A108	Planta baja	Studio
Holistika	Ahal 1	A103	Planta baja	Departamento
La Veleta	Smart Depas	A109	Planta baja	Departamento
La Veleta	Smart Depas	A304	Segundo Piso	Departamento
La Veleta	Smart Depas	B107	Planta baja	Departamento
La Veleta	Smart Depas	B210	Primer Piso	Departamento
Aldea Zama	Brava Towers 	407	Tercer Piso	Departamento
Region 15	Mistiq Temple I	A302	Planta baja	Studio
Region 12	Aldea Savia F1	 R49	PenThouse	PentHouse
Aldea Zama	Miraluna	221	Primer Piso	Studio
Centro	Menesse	127	Segundo Piso	Studio
Tumben kaa	Luz Tulum	D302	Segundo Piso	Departamento
Kukulkan	Mistiq Tulum	E104	Planta baja	Departamento
Region 15	Mistiq Temple I	C205	Primer Piso	Studio
Zona hotelera 	Amira District	B302	Segundo Piso	Departamento
Selva Norte	Almendro	38	Planta baja	Casa
La Veleta	Sky Tulum	2	Planta baja	Departamento
Tumben kaa	Edificio Jabali	PH Sin muebles	PenThouse	PentHouse
La Veleta	Zena Liza	A	Planta baja	Duplex
Tumben kaa	Casitas	Casita 1	Planta baja	Casa
Tumben kaa	Casitas	Casita 2	Primer Piso	Departamento
Region 15	Mistiq Temple I	E302	Segundo Piso	Studio
Riviera Tulum	Keystone 			Departamento
La Veleta	Coco Village	D2	Segundo Piso	Departamento
La Veleta	Cacao	C302	PenThouse	studio PH
Aldea Zama	Art House	8-201	Primer Piso	Departamento
La Veleta	Palalma Tierra	14	Primer Piso	Departamento
Tumben kaa	Vida Tulum	2	Planta baja	Departamento
Tumben kaa	Vida Tulum	8	Primer Piso	Departamento
