Disponible	Zona	Condominio	Unidad	Piso	Tipo	Recámaras 	Baños
No Disponible	La Veleta	Zen 	pb1 	Planta baja	Studio	0	1
Disponible	Region 15	Muuk	307	Segundo Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum	201	Primer Piso	Departamento	2	1
Disponible	Kukulkan	Loch Condo	104	Primer Piso	Studio	0	1
Disponible	Villas Tulum	Alma 	1	Planta baja	Departamento	1	1
Disponible	Villas Tulum	Selva Maya	B1		Departamento	1	1
Disponible	Aldea Tulum	Aldea Tulum F2 	201		Departamento	2	1
Disponible	Region 15	Reverence	103	Planta baja	Studio	0	1
Disponible	Region 15	Reverence	102	Planta baja	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum	Mz 8 Lt1 #50	Primer Piso	Departamento	2	1
Disponible	Tumben kaa	Xunik	T3 #304	Segundo Piso	Studio	0	1
Disponible	La Veleta	Cacao 	B205	Primer Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum	304	Tercer Piso	Departamento	2	1
Disponible	La Veleta	Casa Imox	202B	Primer Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum	17	Tercer Piso	Departamento	2	1
Disponible	La Veleta	Zona Nove	5	Primer Piso	Loft	1	1
Disponible	Aldea Tulum	Aldea Tulum	13		Departamento	2	1
Disponible	Region 15	Reverence	206	Primer Piso	Studio	0	1
Disponible	La Veleta	Cacao	204A	Primer Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea tulum 	203	Segundo Piso	Departamento	2	1
Disponible	Villas Tulum	Casa Jaguares	-		Departamento	2	1
Disponible	Aldea Zama	Akua Tulum	13	Primer Piso	Studio	0	1
Disponible	Aldea Zama	Yakuntik	Copal #101	Primer Piso	Studio	0	1
Disponible	Aldea Zama	Yakuntik	Copal #201	Primer Piso	Studio	0	1
Disponible	Region 15	Zizal	302	Segundo Piso	Studio	0	1
Disponible	Region 15	Zizal	305	Segundo Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum		Segundo Piso	Departamento	2	1
Disponible	Aldea Tulum	Aldea Tulum	P-404	Tercer Piso	Departamento	2	1
Disponible	Aldea Tulum	Aldea Tulum	casa Baax al	Primer Piso	Departamento	2	1
Disponible	Kukulkan	Naia Tulum	B13		Studio	0	1
Disponible	La Veleta	Casa Santiago	#1 (3 disponibles)	Primer Piso	Studio	0	1
Disponible	Centro	Nadet	#31	Primer Piso	Departamento	1	1
Disponible	Centro	Nadet	#33	Primer Piso	Departamento	1	1
Disponible	Centro	Nadet	#34	Primer Piso	Departamento	1	1
Disponible	Centro	Nadet	#35	Primer Piso	Departamento	1	1
Disponible	La Veleta	Xeiba	201	Primer Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum 	7	Planta baja	Departamento	2	1
Disponible	Kukulkan	Loch Condo	223	Segundo Piso	Studio	0	1
Disponible	La Veleta	Rama	101	Primer Piso	Departamento	1	1
Disponible	La Veleta	Kantuun	T2 B1	Segundo Piso	Studio	0	1
Disponible	La Veleta	DK Tulum	232	Segundo Piso	Studio	0	1
Disponible	Tumben kaa	Xunik	 T3 #102	Planta baja	Departamento	1	1
Disponible	Region 15	Xibalba	216	Segundo Piso	Studio	0	1
Disponible	La Veleta	Nayal	5	Primer Piso	Studio	0	1
Disponible	Riviera Tulum	Keystone		Primer Piso	Departamento	2	2
Disponible	Region 15	Jade	30	Primer Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum Plus 	T49 4A	Tercer Piso	Departamento	2	1
Disponible	Villas Tulum	Alma 	B2	Primer Piso	Departamento	2	2
Disponible	Villas Tulum	Alma 	C6	Segundo Piso	Departamento	2	2
Disponible	Villas Tulum	Selva Maya		A disponibilidad	Departamento	2	1
Disponible	Aldea Zama	Lik Zama	306	Segundo Piso	Studio	0	1
Disponible	La Veleta	Heavens Lagoon	3	Planta baja	Departamento	1	1
Disponible	Aldea Tulum	Mza 24 lt1 uc2 C. 302 J2		Primer Piso	Departamento	2	1
Disponible	La Veleta	Central Park Lagunas 	C205	Segundo Piso	Studio	0	1
Disponible	Region 8	Nook	3104	Primer Piso	Studio	0	1
Disponible	La Veleta	DK Tulum	6	Planta baja	Departamento	1	1
Disponible	La Veleta	Heavens Lagoon	9	Planta baja	Departamento	1	1
Disponible	La Veleta	Heavens Lagoon	8	Planta baja	Departamento	1	1
Disponible	Region 15	Areia 	F2 6	Segundo Piso	Studio	0	1
Disponible	Centro	Mayapax	F	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Erena	305	Segundo Piso	Studio	0	1
Disponible	Region 15	Zizal	202	Primer Piso	Departamento	1	1
Disponible	Region 15	Zizal	303	Segundo Piso	Studio	1	1
Disponible	La Veleta	Acinte	A8	Planta baja	Departamento	1	1
Disponible	Aldea Zama	Katia Residence	213	Segundo Piso	Studio	0	1
Disponible	Region 15	Xibalba	111	Segundo Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum Plus	T24 3B	Segundo Piso	Departamento	2	1
Disponible	Region 15	Mistiq Temple ll	A301,B203,B207,B208,B211,B301,B302,B304,B305,B403,C201,C202,C203,C207,C208,C209,C301,C302	A disponibilidad	Studio	0	1
Disponible	Av coba	Gardens by coba	204	Primer Piso	Studio	0	1
Disponible	Av coba	Gardens by coba	205	Primer Piso	Studio	0	1
Disponible	La Veleta	Central Park Lagunas	A112	Planta baja	Studio	0	1
Disponible	Aldea Zama	Brava Towers 	308	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Rama	315	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Cacao	C101	Segundo Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple I	C205	Primer Piso	Studio	0	1
Disponible	Region 15	Chaac	215	Primer Piso	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum	B2 - 101	Planta baja	Departamento	2	1
Disponible	Aldea Zama	Phimai	8	Segundo Piso	Departamento	1	1
Disponible	Aldea Zama	Phimai	7B	Segundo Piso	Departamento	1	1,5
Disponible	Aldea Zama	Ophelia 	K4	Primer Piso	Studio	0	1
Disponible	La Veleta	Palalma Tierra	27	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Rama	201	Primer Piso	Departamento	1	1
Disponible	La Veleta	Cacao	C102	Planta baja	Studio	0	1
Disponible	La Veleta	Santal 	116	Planta baja	Studio	0	1
Disponible	La Veleta	Santal	214	Primer Piso	Studio	0	1
Disponible	Centro	Tuk Tulum	Tierra 108	Primer Piso	Studio	0	1
Disponible	La Veleta	Seremonia Origen	310	Segundo Piso	Studio	0	1
Disponible	La Veleta	Jungle Chic	306	Segundo Piso	Studio	0	1
Disponible	La Veleta	Smart Depas	B104	Planta baja	Departamento	1	1
Disponible	Region 15	Xibalba	23	Planta baja	Departamento	1	1
Disponible	La Veleta	Cacao 	C104	Planta baja	Studio	0	1
Disponible	Aldea Tulum	Aldea Tulum Plus	T1 3B	Tercer Piso	Departamento	2	1
Disponible	Region 15	Koah 	7	Planta baja	Studio	0	1
Disponible	La Veleta	Naia Naay	E302	Segundo Piso	Departamento	2	1
Disponible	Region 15	Mistiq Temple II	#A205		Studio	0	1
Disponible	La Veleta	Blue Luxury	102E	Primer Piso	Departamento	1	1
Disponible	La Veleta	Naia Naay	H205	Primer Piso	Departamento	2	1
Disponible	Region 15	Mistiq Gardens I	103	Primer Piso	Studio	0	1
Disponible	Centro	Tuk Tulum	Agua 113	Primer Piso	Studio	0	1
Disponible	La Veleta	Rama	204	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Smart depas	A308	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Smart Depas	B210	Primer Piso	Departamento	1	1
Disponible	Riviera Tulum	Keystone 			Departamento	3	3
Disponible	La Veleta	Smart Depas	B206	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Town Center	T6 #101	Primer Piso	Departamento	1	1
Disponible	La Veleta	Palalma Tierra	18	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Vientos Tulum	1	Planta baja	Departamento	1	1
Disponible	Aldea Zama	Quinto Sol	6	Primer Piso	Departamento	1	1.5
Disponible	Kukulkan	Adora	H13	Primer Piso	Studio	0	1
Disponible	Centro	Kalmuk	306	Tercer Piso	Studio	0	1
Disponible	La Veleta	Heavens Lagoon	12	Primer Piso	Departamento	2	2
Disponible	La Veleta	Zanza Studios	2002	Segundo Piso	Studio	0	1
Disponible	La Veleta	Rama	103	Planta baja	Departamento	1	1
Disponible	Macario Gomez	Casa Sylvia	-	Planta baja	Casa	1	1
Disponible	Aldea Zama	Amira central	202	Segundo Piso	Departamento	1	1
Disponible	Centro	Bakal 	208	Primer Piso	Studio	0	1
Disponible	Centro	Bakal 	109	Planta baja	Studio	0	1
Disponible	La Veleta	Heavens Lagoon	2	Planta baja	Departamento	1	1
Disponible	Region 15	Mistiq Gardens I	223	Primer Piso	Studio	0	1
Disponible	Aldea Zama	Katia	210	Segundo Piso	Studio	0	1
Disponible	La Veleta	Palalma Tierra	14	Primer Piso	Departamento	1	1
Disponible	Tumben kaa	Xunik	B103	Planta baja	Departamento	1	1
Disponible	Centro	Menesse	306		Studio	0	1
Disponible	La Veleta	Smart Depas	C203	Primer Piso	Departamento	1	1
Disponible	La Veleta	Smart Depas	C205	Primer Piso	Departamento	1	1
Disponible	La Veleta	Erena	510	Segundo Piso	Studio	0	1
Disponible	Region 15	Mistiq Gardens I	124	Segundo Piso	Studio	0	1
Disponible	Region 15	Zizal	203	Primer Piso	Departamento	1	1
Disponible	Region 15	Zizal	205	Primer Piso	Departamento	1	1
Disponible	La Veleta	Smart Depas	C208 sin muebles	Primer Piso	Departamento	1	1
Disponible	Region 15	Mistiq Temple II	B210	Primer Piso	Studio	0	1
Disponible	La Veleta	Casa Imox	01B	Planta baja	Studio	0	1
Disponible	Region 15	Jade	6	Planta baja	Departamento	1	1
Disponible	Tumben kaa	Xunik	T3 #305(sin muebles)	Segundo Piso	Departamento	2	2
Disponible	Tumben kaa	Xunik 	T4 #203(sin muebles)	Primer Piso	Departamento	2	2
Disponible	Tumben kaa	Xunik 	T4 #303(sin muebles)	Segundo Piso	Departamento	2	2
Disponible	La Veleta	Smart Depas	A109	Planta baja	Departamento	1	1
Disponible	La Veleta	Smart Depas	A105	Planta baja	Departamento	1	1
Disponible	La Veleta	Smart Depas	A106	Planta baja	Departamento	1	1
Disponible	La Veleta	Casa Chehchen	casa #1	Planta baja	Casa	1	1
Disponible	Region 15	Noil Residences	2	Planta baja	Departamento	1	1
Disponible	Aldea Zama	Amira Central	103	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Amira central	104	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Luna Residence 	301	Tercer Piso	Departamento	1	1
Disponible	Kukulkan	Chaac	116	Planta baja	Studio	0	1
Disponible	Centro	Tuk Tulum	Tierra 211	Primer Piso	Studio	0	1
Disponible	Kukulkan	Adora	401	Segundo Piso	Studio	0	1
Disponible	La Veleta	Palalma Tierra	9	Planta baja	Departamento	1	1
Disponible	Aldea Zama	Luna Residence	106	Primer Piso	Departamento	1	1
Disponible	Kukulkan	Chaac	222	Segundo Piso	Studio	0	1
Disponible	Region 12	Aldea Savia F1	314	Segundo Piso	Studio	0	1
Disponible	Av coba	Gardens by coba 	310	Tercer Piso	Departamento	2	1
Disponible	Aldea Zama	Akua Tulum	18	Primer Piso	Studio	0	1
Disponible	Kukulkan	Waves	sp103	Planta baja	Studio	0	1
Disponible	Region 15	Mistiq Temple I	E302	Segundo Piso	Studio	0	1
Disponible	Tumben kaa	Vida Tulum	2	Planta baja	Departamento	1	1
Disponible	Region 15	Mistiq Temple I	C305	Segundo Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple II	B208	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple II	B403	Tercer Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple II	C208	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple II	C209	Primer Piso	Studio	0	1
Disponible	Centro	Kiimak Tulum	3	Primer Piso	Departamento	1	1
Disponible	Region 15	Zizal	103	Planta baja	Departamento	1	1
Disponible	Region 15	Mistiq Gardens I	102	Primer Piso	Studio	0	1
Disponible	La Veleta	Erena	512	Cuarto Piso	Studio	0	1
Disponible	Holistika	Ahal 2	T4 402	Primer Piso	Studio	0	1
Disponible	Centro	Kiimak	4	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Naj Tulum	1B	Planta baja	Studio	0	1
Disponible	Centro	Bakal	413	PenThouse	studio PH	0	1
Disponible	La Veleta	Nequén	208	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Acinte by Endémico	#B1	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Local Anemona	101	Planta baja	Local Comercial		
Disponible	La Veleta	Palalma Tierra	34	Segundo Piso	Departamento	1	1
Disponible	Region 15	Mistiq gardens I	125	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq gardens I	119	Primer Piso	Studio	0	1
Disponible	Region 12	Nativa Tulum	#2304	Segundo Piso	Studio	0	1.5
Disponible	Kukulkan	Blue Luxury kukulkan	102 F	Primer Piso	Departamento	1	1
Disponible	Kukulkan	Blue Luxury kukulkan	201 F	Segundo Piso	Departamento	1	1
Disponible	Aldea Zama	Tao	119	Planta baja	Departamento	2	2
Disponible	Aldea Zama	Gaia	308	Segundo Piso	Departamento	1	1
Disponible	Selva Norte	Kayum	203 sin muebles	Primer Piso	Departamento	2	2
Disponible	Selva Norte	Ceiba 	102	Planta baja	Departamento	2	2
Disponible	Villas Tulum	Selva Maya		A disponibilidad	Departamento	3	2
Disponible	Kukulkan	Adora	412	PenThouse	studio PH	0	1
Disponible	Aldea Zama	Zama Tower Premium	D005	Planta baja	Departamento	1	1
Disponible	Centro	Tuk Tulum	Fuego 14	Planta baja	Studio	0	1
Disponible	Centro	Hacienda Tuuk Torre Yah	3	Planta baja	Studio	0	1
Disponible	La Veleta	Kanta 	B2	Primer Piso	Studio	0	1
Disponible	La Veleta	Atipika 	302	PenThouse	studio PH	0	1
Disponible	La Veleta	Smart Depas 	D208	Segundo Piso	Departamento	1	1
Disponible	Tumben kaa	Miel y Almendras	3	Planta baja	Departamento	1	1
Disponible	La Veleta	Smart Depas	D104	Planta baja	Departamento	1	1
Disponible	Tumben kaa	(Palma Central)	2 unidades	Primer Piso	Departamento	2	1
Disponible	La Veleta	Boni Gardens	201	Segundo Piso	Departamento	1	1
Disponible	Av coba	Gardens by coba	PH01		studio PH	0	1
Disponible	Region 15	Jungle paradise	213	Primer Piso	Departamento	0	1
Disponible	Aldea Zama	Town Center	T4 #205	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Siddartha	109	Segundo Piso	Departamento	2	2
Disponible	La Veleta	Panoramic	PH 3C	PenThouse	studio PH	1	1.5
Disponible	Centro	Maria Tulum	237	Primer Piso	Departamento	1	1
Disponible	Region 15	Koah	1	Planta baja	Studio	0	1
Disponible	Centro	Tuk Tulum	Fuego 001	Planta baja	Studio	0	1
Disponible	La Veleta	Kantuun 	T1 B2	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Cordelia	B3	Planta baja	Departamento	2	2
Disponible	Av coba	Gardens by Coba	103	Primer Piso	Departamento	1	1
Disponible	Region 15	Angelique	101	Planta baja	Departamento	1	1
Disponible	La Veleta	Naab	B301	PenThouse	studio PH	0	2
Disponible	Aldea Zama	Bonita Love And Explore	2	Planta baja	Departamento	2	2
Disponible	Kukulkan	Mistiq Tulum 	E102	Planta baja	Studio	0	1
Disponible	Region 15	Koah	6	Planta baja	Studio	0	1
Disponible	Region 15	Koah	11	Primer Piso	Studio	0	1
Disponible	Villas Tulum	Paraiso Chaak		Primer Piso	Departamento	3	2
Disponible	Aldea Zama	Quinto Sol	12 (serv incl)	Primer Piso	Departamento	2	2
Disponible	Aldea Zama	Quinto Sol	25	Segundo Piso	Departamento	2	3
Disponible	Region 15	Mistiq Temple I	C105	Planta baja	Loft	1	1
Disponible	La Veleta	Palalma Tierra	5	Planta baja	Departamento	1	1
Disponible	Region 15	Mistiq Temple II	C304	Segundo Piso	Studio	0	1
Disponible	Aldea Zama	Brava Towers 	407	Tercer Piso	Departamento	2	2
Disponible	Region 15	Mistiq Temple I	A302	Planta baja	Studio	0	1
Disponible	Tumben kaa	Vida Tulum	8	Primer Piso	Departamento	1	1
Disponible	Region 15	Mistiq Gardens I	105	Planta baja	Studio	0	1
Disponible	Region 15	Mistiq Gardens I	117	Planta baja	Studio	0	1
Disponible	Region 15	Mistiq Gardens I	211	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Gardens I	212	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Gardens I	214	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Gardens I	221	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple I	B208	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple II	B202	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple I	B207	Primer Piso	Studio	0	1
Disponible	Region 15	Mistiq Temple II	B201	Primer Piso	Studio	0	1
Disponible	La Veleta	Palalma Casa	7	Planta baja	Departamento	2	2
Disponible	Region 15	Zizal	102 (serv incl)	Planta baja	Departamento	1	1
Disponible	La Veleta	Cacao 	D202	Primer Piso	Departamento	1	1
Disponible	Kukulkan	Loch Condo	401	Tercer Piso	Departamento	1	1
Disponible	La Veleta	Xiimbal	212	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Naj Tulum	2B	Planta baja	Studio	0	1
Disponible	Aldea Zama	Parque Zama	T4 D202	Segundo Piso	Departamento	1	1
Disponible	Region 15	Mistiq Gardens I	210	Segundo Piso	Studio	0	1
Disponible	Region 8	Recinto	1	PenThouse	studio PH	0	1
Disponible	Zona hotelera 	Amira District	B204	Segundo Piso	Departamento	1	1
Disponible	Gran Sirenis	Sirenis	103	Primer Piso	Departamento	2	2
Disponible	Aldea Zama	Local Anemona	#1	Tercer Piso	Local Comercial		
Disponible	Aldea Zama	Local Anemona	#2	Tercer Piso	Local Comercial		
Disponible	Region 15	Mistiq Gardens ll 	13	Planta baja	Loft	1	1
Disponible	Kukulkan	Chaac	315	PenThouse	studio PH	0	1
Disponible	Centro	Tuk Tulum	Fuego 103	Primer Piso	Studio	0	1
Disponible	La Veleta	Blue Luxury	101 B	Primer Piso	Departamento	1	1
Disponible	Aldea Zama	Paramar Viva	18	Planta baja	Departamento	1	1
Disponible	Selva Norte	Selva Norte	Beek 301	PenThouse	PentHouse	2	2
Disponible	Region 12	Aldea Savia F1	G23	Planta baja	Departamento	2	2
Disponible	La Veleta	Xperience Residences	19	Planta baja	Departamento	1	1
Disponible	Aldea Zama	Zama Tower  	D112	Primer Piso	Departamento	2	2
Disponible	La Veleta	Palalma Casa	4	Planta baja	Departamento	2	2
Disponible	Av coba	Edena by Tao	43 sin muebles	Planta baja	Casa	2	2
Disponible	La Veleta	Tierra Blanca	202	Primer Piso	Departamento	2	1
Disponible	La Veleta	Magnolias	B2	Primer Piso	Departamento	2	1
Disponible	La Veleta	Coco Village	C1	Planta baja	Departamento	2	2
Disponible	Av coba	Edena by Tao	60 (sin muebles)	Planta baja	Casa	2	2
Disponible	La Veleta	Etnica Ku		Planta baja	Departamento	1	1
Disponible	Gran Sirenis	G. Sirenis ed. La selva	D302	Planta baja	Departamento	2	2
Disponible	Tumben kaa	Tulix	12	Planta baja	Casa	2	2
Disponible	Region 15	Noil Residences	PP8	Primer Piso	Departamento	2	2
Disponible	Villas Tulum	Tuane	302	Planta baja	Departamento	2	2
Disponible	Villas Tulum	Tuane	401	Planta baja	Departamento	2	2
Disponible	Villas Tulum	Homes	106	Planta baja	Departamento	2	2.5
Disponible	Villas Tulum	Homes	205	Primer Piso	Departamento	2	2.5
Disponible	Region 8	Canopia	110	Planta baja	Departamento	1	1
Disponible	Centro	Tuk Tulum	Agua 103	Primer Piso	Departamento	1	1
Disponible	Tumben kaa	Tulix	casa #25	Planta baja	Casa	2	3
Disponible	Region 12	Aldea Savia F1	R23	Primer Piso	Departamento	2	2
Disponible	La Veleta	Xiimbal	35 (sin muebles)	Segundo Piso	PentHouse	2	2.5
Disponible	Tumben kaa	Tulix	24	Planta baja	Casa	2	2
Disponible	Centro	Tuk Tulum	Fuego 110	Primer Piso	Departamento	1	1
Disponible	Playa Del Carmen	Beel 19	2	Planta baja	Departamento	2	2
Disponible	La Veleta	Sky Tulum	K102	Primer Piso	Departamento	2	2
Disponible	Villas Tulum	Tuane	802	Planta baja	Departamento	2	2
Disponible	Playa Del Carmen	Playazul		Primer Piso	Studio	0	1
Disponible	Kukulkan	Waves	F305	Tercer Piso	Departamento	2	2
Disponible	Kukulkan	Waves	F314	Segundo Piso	Departamento	2	1
Disponible	La Veleta	Kaatal Oox	5	Planta baja	Villa	2	2
Disponible	Aldea Zama	Yakuntik	Chit #301	PenThouse	PentHouse	1	1
Disponible	Cenote Caracol	Casa Giselle	-	Planta baja	Casa	2	2
Disponible	La Veleta	Condos Che 721		Planta baja	Departamento	2	2
Disponible	La Veleta	Palalma casa	26	Primer Piso	Departamento	2	2
Disponible	Kukulkan	Noil Villas	2C (sin muebles)	Planta baja	Villa	3	3
Disponible	Aldea Zama	Yakuntik	Kerpis #305	Planta baja	Departamento	1	1
Disponible	Region 15	Angelique	302	PenThouse	studio PH	1	1
Disponible	Aldea Zama	Azara	#306	Segundo Piso	Departamento	2	2
Disponible	La Veleta	Casa Chehchen	Town House	Planta baja	Casa	2	3
Disponible	Riviera Tulum	Anayansi	1 (incluye servicios)	Planta baja	Departamento	2	2
Disponible	Region 12	Aldea Savia F2	G58	Planta baja	Departamento	2	2
Disponible	Villas Tulum	Homes	301	PenThouse	PentHouse	2	2.5
Disponible	Aldea Zama	Yakuntik	Balche #202	Primer Piso	Departamento	2	2
Disponible	Centro	Tuk Vientos	207	Segundo Piso	Departamento	1	1
Disponible	La Veleta	Luxury Condo	#3	Planta baja	Departamento	2	2
Disponible	Selva Norte	Copal	301	PenThouse	PentHouse	2	3
Disponible	Region 8	Botanic	311	Segundo Piso	Departamento	2	2
